UBCF1,UBCF2,PAM,IBCF,POP,RANDOM,CONTENT,REAL,AVERAGE
4.229132004,4.508395089,3,4.602091809,4.340123905,3.272632315,4.450549451,5,4.057560653
3.669616565,3.545454545,4,5,3.29326463,4.369729852,3.84,4,3.959723656
3.790262172,3.812977099,3.714285714,0,4.494217305,5,3.923076923,4,3.533545602
3.576923077,3.555555556,3,2.800728067,3.335626075,4.246418519,1.926829268,2,3.206011509
4.183333333,4.232387922,1,4.280121392,4.248746459,4.199807448,4.28,5,3.774913794
2.948628036,3.170774299,2.5,2.909047269,3.184735911,3.613980334,3.284025462,3,3.087313044
3.079900044,2.913597578,2.275862069,3.334714656,2.375181647,4.102696715,2.750910668,5,2.97612334
3.053113821,3.083139288,2.5,3.444147903,3.234769558,3.063983619,2.963180619,2,3.048904973
3.965786616,4.224023351,2,4.543277197,4.234974101,3.505268496,3.075428571,4,3.649822619
2.764705882,2.764705882,2,2.83727505,2.849212349,1.980829188,2,4,2.456675479
4.068493151,4.067567568,2.5,5,4.00161688,2.345774402,4.926650367,4,3.844300338
3.468722035,3.780288535,3,3.952357794,3.326809478,3.788477297,2.607178603,4,3.417690535
3.989281581,4.029003678,3,4.314991,4.215246419,4.188996333,4.006711409,4,3.963461489
3.721362229,3.720496894,3.714285714,0,4.433050077,4.091193316,3.643636364,5,3.332003513
3.570731707,3.817111378,4,3.49671606,3.674175199,3.95099998,3.71785871,2,3.746799005
3.875912409,3.595292901,3.333333333,4.196567694,3.490687523,5,3.942307692,1,3.919157365
3.891826923,3.818997291,1,3.714994878,3.236580806,3.901043751,3.185584563,3,3.249861173
3.624365482,3.641033042,4,4.320631547,4.006813055,2.75643469,3.704819277,5,3.72201387
3.89070991,3.986558283,4,3.963454825,3.968368874,3.874211936,3.923076923,5,3.943768679
2.877911213,2.716772739,1,2.626087433,2.941676351,2.757285144,2.891696751,3,2.544489947
3.848882241,3.755919308,5,3.943664267,3.536015022,4.389222831,3.982269504,4,4.065139025
4.13949472,4.097709492,3,4.368762445,4.306892697,4.217171675,4.191176471,5,4.045886786
3.273650552,3.434063416,2.588235294,3.185987132,3.752016488,2.701844299,3.897637795,3,3.261919282
3.939218157,3.475574194,3.867924528,3.797415364,3.647015624,2.420533881,3.943005181,4,3.584383847
3.485762775,3.58612645,3,4.078502791,3.410788664,3.457865867,3.129416699,3,3.449780464
3.523809524,3.5,5,2.753031663,2.663088498,5,3.090909091,1,3.647262682
4.047808765,4.010542271,2.75,4.637417973,4.849971845,4.718638058,3.992875105,5,4.143893431
3.035929835,3.149621638,2.083333333,3.254555311,3.018796183,3.73783369,3.064397731,3,3.049209674
3.77839224,3.397040514,4,3.370491807,3.890335803,4.728283637,3.445783133,3,3.801475305
3.410377358,3.4106941,3,4.000017257,3.861854086,5,2.467343056,3,3.59289798
3.486170534,3.375381779,3,4.082530353,3.876193708,4.985382794,3.045454545,4,3.693016245
3.338108883,3.447211145,2,3.352226746,3.657626282,2.752453627,2.274877651,4,2.974643476
3.807211751,3.52441235,3.5,4.430960161,3.755402557,5,4.350993377,3,4.052711457
3.123333333,3.125827815,1,0,1.819142485,1.829419726,2.996833811,1,1.984936739
1.540229885,1.541786744,2.590909091,0,1,1.982106081,1.198943662,1,1.40771078
3.333333333,3.41701891,4,3.475746515,3.212896741,2.584836165,2.127516779,3,3.164478349
3.624210529,3.457772628,3.111111111,3.855003099,3.377755871,3.5375671,4,3,3.566202905
3.971710156,3.864661654,1.666666667,4.870072191,4.481926022,2.307369753,3.437692646,5,3.51429987
3.388876997,3.577547413,1.333333333,3.577490349,3.796739859,3.557749091,3.390070922,3,3.231686852
3.483870968,3.592718663,3.04950495,4.029212213,3.5660225,1.574750961,4.071428571,5,3.338215547
3.200073444,3.085911221,4,3.701923812,2.904696455,4.411470631,3.122678672,2,3.489536319
3.5,3.5,3.5,3.703438168,3.596692098,3.489642306,2.75,3,3.434253225
2.697005635,3.077552726,1,3.115313832,2.851419681,2.643718737,3.6,3,2.712144373
3.625938527,3.775459035,2.111111111,4.395397431,3.920083131,4.359311268,3.17678611,5,3.623440945
3.786106738,3.865168539,3.9375,3.433354225,3.780151287,3.813533125,3.911597729,4,3.789630235
3.758067293,3.485647946,3.75,4.036500909,3.473725669,3.507079717,3.515754561,3,3.646682299
4.569455668,4.470588235,3,4.250325829,4.756875987,4.927572411,4.75,3,4.389259733
2.841214594,2.404835322,5,3.165313269,2.701957412,3.78750251,3.803278689,3,3.386300256
4.345454545,4.345454545,3,0,4.095885852,5,4.517857143,5,3.614950298
3.033209975,3.043478261,3,3.501320092,2.061581055,1.197745523,3.654676259,3,2.784573023
3.116883117,3.337376117,2.75,3.482301727,3.035237299,1.254911287,2.7250342,4,2.814534821
4.049638259,4.028770355,2,4.124075856,4.357148665,1,3.931818182,5,3.355921617
3.108398035,2.851604132,4,2.391131771,3.14037184,1.516355715,1.044520548,2,2.57891172
3.457248029,3.3750817,3.611111111,3.898672253,3.071014457,3.601555493,3.515102895,2,3.504255134
3.092323931,2.993904058,4,3.261903566,2.904102201,2.402277588,2.869334422,3,3.074835109
3.973627481,3.771054383,2.111111111,4.008606038,3.803071734,2.866805566,3.185596617,4,3.388553276
4.064065841,3.857142857,2.25,4.49808137,4.10624809,4.902954117,4.371702638,3,4.007170702
3.930259126,3.590273072,3.194805195,3.529561614,3.148227068,3.380251367,3.777675064,2,3.507293215
3.638554217,3.757524861,3.666666667,3.372338487,3.947671956,4.390506246,2.227163462,3,3.571489414
3.5,3.5,2,4,3.453880089,3.613903143,3.52173913,4,3.369931766
4.280788177,4.280788177,2,4.180002441,4.457106714,4.404306918,4.206349206,5,3.972763091
4.106382979,4.172834502,1.529411765,4.23847688,3.290451605,5,2.147186147,2,3.497820554
3.53631211,3.3184448,1,4.271912229,3.533480859,1.153149841,3.232654413,4,2.86370775
2.543131984,2.647776983,4.25,1.81270917,1.808594158,1.592782937,2.369491525,2,2.432069537
3.568796705,3.31108457,2,3.700598339,3.451311669,1.797996084,3.397849462,5,3.032519547
3.259996398,3.396896097,3.846153846,3.346278067,3.397357325,3.214927365,2.965517241,4,3.346732334
3.77256932,4.157572394,2.5,3.730007975,3.775781359,4.234327774,4.036697248,3,3.743850867
3.478494624,3.481283422,1,2.995212308,3.673023163,4.574025365,3.768,3,3.281434126
3.46031746,3.574743243,2.825,3.758642367,3.477901969,1.368473043,3.905146097,5,3.195746311
3.280721011,3.241095199,3,3.450537809,3.264468474,3.923827124,2.985207101,3,3.30655096
4.225806452,4.064397759,3.666666667,4.592755941,4.519094091,5,4.230053191,5,4.3283963
2.952196145,3.177325966,1.5,3.158179782,3.192948694,3.84012293,3,3,2.974396217
3.283062057,3.853996858,2.588235294,3.02858391,3.552521539,1.312606177,3.987608426,4,3.08665918
3.182950073,3.027005071,3,2.715426029,2.845174895,3.190409889,2.51577802,4,2.92524914
3.78433739,3.757062147,5,3.710636484,4.232889537,3.864062196,3.831675593,4,4.02580905
3.67836019,3.774491034,2,3.805716938,3.988678465,4.849245041,3.816950435,5,3.7019203
3.891826923,3.989658739,3.875,4.098049807,3.474658016,3.802736735,3.479306575,4,3.801605256
4.338608588,4.33061202,3.111111111,3.875003422,4.25654375,4.066715972,5,4,4.139799266
3.289256198,3.289256198,3.2,0,2.193396672,3.810892228,2.3,2,2.583257328
3.4375,3.586935856,4,4.321383458,3.843088338,5,3.2,4,3.912701093
3.5,3.544388571,2.8125,3.299346336,3.939786014,3.539019212,3.856837607,2,3.498839677
2.98725662,2.970416252,4.714285714,3.397481668,2.936989065,4.402244853,2.262411348,3,3.381583646
4.181208054,3.764805156,3.166666667,3.887828065,3.008988775,4.513643998,4.586666667,5,3.872829626
3.840023474,3.7416404,4,3.609872847,2.939522261,3.370510213,3.931558935,3,3.633304019
3.66442953,3.66442953,4.333333333,2.041756728,3.224568322,3.44359956,3.762971175,3,3.44786974
3.891826923,3.880095923,4.25,3.290276372,3.212277698,4.648173198,3.852193995,3,3.860692016
3.545153074,3.286209621,3.6875,3.947575874,4.150860894,2.790928917,4.444444444,4,3.693238975
3.272535299,3.408922456,4.333333333,3.683142424,2.679147173,1.681659399,3.050986842,3,3.158532418
3.430329369,3.505224976,2,3.632621646,3.293784122,2.068107849,3.055170767,3,2.997891247
3.894736842,3.894736842,4.75,0,3.579425837,4.717553196,4.4,5,3.605207531
3.969798658,3.995008203,4.087179487,2.625637192,3.741866355,5,3.417372555,1,3.833837493
4.083381302,4.243707157,1,4.409245561,4.456371569,2.905395023,3.976811594,4,3.582130315
3.1,3.086238739,4.142857143,3.148808288,3.195106621,2.846263801,3.428571429,4,3.278263717
3.899009481,4.045833333,3.888888889,5,3.251625606,2.292211457,4,4,3.768224109
4.175545708,4.240911063,1,4.269288545,4.636213427,4.607514723,4.444444444,4,3.910559701
4.07229766,4.397746765,3,4.472807965,4.671412058,4.452633522,4.920199501,5,4.283871067
4.288888889,4.56071542,3.894736842,4.66901951,4.721068445,3.959689446,4.295774648,5,4.341413314
3.993427028,3.949526814,1,3.56222972,3.828223999,4.176979231,4.216510783,4,3.532413939
2.918032787,2.918733293,3.5,3.702016133,3.328939562,2.721580566,3.649912587,3,3.248459275
2.634730539,2.634730539,3.333333333,2,2.875852007,3.199905857,2.550724638,2,2.747039559
3.532527172,3.551657611,4,3.388430706,3.791265415,2.378486334,2.042635659,5,3.2407147
3.456043956,3.453038674,2,4,3.15481185,3.411248045,2.085080148,3,3.08003181
3.083691474,3.183056471,3.285714286,3.689600993,3.452143034,1.024383088,3.219512195,3,2.991157363
3.103559965,3.22708231,3.75,3.201515305,3.205439917,3.431128236,2.842105263,1,3.251547285
3.192189004,3.135392332,3.166666667,3.205256235,2.353504603,2.225471027,2.495854296,2,2.824904881
3.863636364,4.011419224,3.588235294,3.944909716,4.038065844,3.729695911,4.380952381,4,3.936702105
3.509090909,3.469649575,3.476923077,3.504948477,3.054474568,4.165261333,2.5,3,3.382906848
3.274820996,3.509823291,1,3.33262317,3.528086769,3.120445541,3.023809524,4,2.969944184
3.18229918,3.278368668,4,3.475023546,3.51995418,4.090429654,3.198101379,4,3.534882372
2.964260286,2.948441642,2.75,3.651415903,3.259289471,2.075926338,2.778145695,4,2.918211334
3.906896552,3.850924298,4,3.658453695,3.712133169,4.290022565,3.914130435,2,3.904651531
4.162537899,4.099395465,3,3.756210293,3.51979532,3.973934064,4.530603522,3,3.863210938
3.491022548,3.340540541,4.428571429,3.695682762,3.533453729,4.521347439,3.302506177,4,3.759017804
3.524474406,3.85723707,4,4.113832772,3.682184082,2.334558067,1.151515152,4,3.237685936
4.359550562,4.173080351,1,4.585209869,4.623428415,5,4.259541985,5,4.000115883
3.973684211,3.986754967,3.681818182,2.785714286,3.577828981,3.505473211,3.863745893,2,3.625002819
3.687128894,3.821949631,3.142857143,4.646135278,3.853392993,4.576173304,3.797188755,5,3.932118
4.011904762,4.011904762,3.75,3.532902092,4.268742422,2.735747793,4.046121593,4,3.765331918
3.774193548,3.795698925,4,3.113495231,3.405292047,5,4.112359551,3,3.885862757
2.872142167,2.831736414,4,2.812251016,2.807541962,1,2.25253028,3,2.65374312
3.162347428,3.548731928,2.083333333,3.356231013,3.531110564,2.900555502,3.166666667,3,3.106996634
3.638888889,3.654054054,2,3.771426551,2.356943279,4.961985654,3.912303665,4,3.470800299
3.338108883,3.210631637,1.5,3.696092785,2.860708837,2.53995275,3.177900893,3,2.903342255
4.024037703,4.142313124,3.55,3.859299609,3.559890774,2.900240128,3.667221298,4,3.671857519
3.5,3.5,2.512820513,0,3.537532824,4.780058067,3.2,2,3.004344486
3.291776306,3.353079997,3.258064516,4.094767572,3.649040928,4.050829968,3.364429368,3,3.580284094
2.949048062,3.246950256,3.666666667,3.367893747,2.818033196,4.159030333,2.148728914,4,3.193764454
3.600094081,4.132940972,2.307692308,3.489850413,4.125436988,2.202283386,4,5,3.408328307
3.972759288,4.260541676,4,4.327008243,4.384969781,4.180585964,4.089932886,5,4.173685405
2.707785307,2.615916454,4,3.114150955,2.831854679,2.189622219,2.580645161,3,2.862853539
3.548006234,3.612323289,3.25,4.190221038,3.835931256,2.545408846,1.702702703,4,3.240656195
3.071524212,3.227494263,4.333333333,2.908203401,2.989646543,3.881241046,2.948504028,2,3.337135261
3.539215686,3.54368932,4,5,3.808028826,2.507409054,3.661290323,3,3.722804744
3.303139776,3.283842174,2.882352941,3.119149631,3.527950284,4.339939346,3.966887417,2,3.489037367
3.954068751,3.921052632,2.466666667,5,4.365124661,4.624699503,2.422535211,4,3.822021061
3.83183531,3.760276252,1.5,3.854903552,4.135388406,2.213089108,3.039033457,5,3.190646584
3.197872748,3.33449166,4.25,3.730044846,3.635504537,3.640013575,2.681818182,4,3.495677935
4.034013819,3.849403774,2.714285714,4.128424964,4.029551693,4.381101272,4.092425485,2,3.889886674
3.575963076,3.591989079,4,3.877772326,3.932861065,3.540914807,4.003246753,3,3.788963872
4.225806452,4.2366301,2,4.789997616,4.181152817,4.529143209,4.130718954,5,4.013349878
3.507125586,3.675168358,4,3.554506451,3.653950141,2.782715319,3.42384106,4,3.513900988
2.857291207,3.152779172,5,3.184348809,3.001445506,4.7152694,2.028779414,1,3.419987644
3.01728805,3.194932727,2.2,2.982248941,3.194764675,3.36008117,3.176438356,2,3.017964846
4.098889302,4.025561425,2,4.500140682,4.260091133,5,2.561303479,5,3.777998003
3.795676586,3.730612848,3.5,3.637999009,3.922759815,2.739057072,3.158273381,3,3.497768387
3.448780488,3.340632436,3.88,3.381836836,3.306231462,3.956011677,3.327731092,3,3.520174856
4.109848991,4.221766246,3,4.348924829,3.723715465,4.644474607,4.926229508,4,4.139279949
4.100722025,3.890378146,3,4.227872968,4.206988443,4.472599365,4.028598549,3,3.989594214
3.556868403,3.690102985,2.2,3.269245495,3.306168695,5,3.25,2,3.467483654
3.687351152,3.454654981,1.333333333,4.245486709,3.388364683,4.251832261,2.285409379,4,3.235204643
4.04319124,3.949885426,3.772727273,4,4.305519801,4.75582111,4.2,5,4.146734979
3.175744031,3.620489591,2,3.381241,3.102420602,4.212500858,3.641975309,4,3.304910199
3.26,3.27027027,3,3.55450237,3.118620191,4.384756917,3.74224155,3,3.475770185
3.614411477,3.714598029,5,4.10513672,3.522436533,3.017326901,3.286236297,5,3.751449422
3.570731707,3.449355248,3,3.478805705,3.05142767,3.029721179,3.653846154,5,3.319126809
2.861842105,3.017616259,3.8,4.403471214,3.58482187,2.386845865,3.092592593,5,3.306741415
3.9,3.842654146,2.25,3.53172261,4.135181182,5,4.905698779,4,3.937893817
3.633462089,3.599948468,2,4.28243309,3.967970928,2.046190122,3.708029197,3,3.319719128
3.743647203,3.675248659,2.833333333,3.564591038,3.772893484,3.967771887,4.326475678,4,3.697708755
3.463159735,3.459674236,3.375,3.066925058,2.726771704,4.012562778,3.334074177,1,3.34830967
3.638037317,3.270221179,4.214285714,3.786468491,3.103632295,3.064119503,3.90625,4,3.569002071
4.125,4.125,4,4.844384848,3.260977559,3.145510409,4.625,5,4.017981831
3.298507463,3.299157722,2,3.226881762,3.424969924,3.493755255,3.052446607,5,3.113674105
2.802291468,3.197819773,1,2.659990691,2.682648633,1.982025261,2.910965323,1,2.462248736
3.577536021,3.655496808,2.909090909,3.240583786,3.599213675,4.120505197,3.359020007,2,3.494492343
3.283363003,3.348314607,4,2.997385285,3.084398422,1,2.845188285,4,2.936949943
4.199053073,3.71858732,2,4.440246688,4.250247106,2.540286984,4,4,3.592631596
3.52294512,3.518992312,3.625,4.569216758,3.808812542,4.212711709,3.374844334,5,3.804646111
3.466666667,3.466666667,3,0,3.30738566,4.77670204,4,4,3.145345862
3.30150684,3.301001072,3,3.298751212,3.247912938,2.853035867,3.109589041,3,3.158828139
3.46969697,3.500135886,4,3.265357353,3.105685216,2.78519206,3.082735533,2,3.315543288
3.708526888,3.684210526,4,1.955900698,3.791883263,4.368916229,2.777777778,1,3.469602197
3.757415864,3.753100742,3.677419355,3.373905934,3.706823651,3.77844354,3.975438893,4,3.717506854
3.72446537,3.366895328,4,3.731447451,3.581916583,4.226897408,2.896551724,3,3.646881981
3.572043041,3.53968254,3.666666667,4.234858288,3.992928352,4.241030641,3.986706056,4,3.890559369
3.606451613,3.606451613,2.4,2.987707531,3.893651372,1.327574694,3.452554745,2,3.039198795
3.950819672,3.971802768,3.894736842,4.324085017,4.408151853,2.683363479,4.001027749,3,3.890569626
3.429637546,3.40548841,3,3.449097198,3.374407809,5,3.019286658,3,3.525416803
4.110985754,4.108636657,2.25,4.396168407,4.2657719,3.693410081,4.093856655,4,3.845547065
3.861702128,3.568101577,3.857142857,1.93055642,3.336182873,1.663951615,3.222111554,1,3.062821289
3.316867785,3.213847106,3.714285714,3.919988337,3.675429193,3.970679989,3.938172142,5,3.678467181
4.129949283,4.113018331,4,4.655275284,4.766175258,4.597631369,4.161157025,5,4.346172364
3.978026368,3.986111111,3.764705882,4.137218098,4.088210069,3.146341507,3.64516129,3,3.820824904
3.123333333,3.125827815,1,2.394384822,2.161821567,5,2.87776251,2,2.811875721
3.928571429,4.265974347,3.846153846,4,4.159262087,3.958363759,4.666666667,5,4.117856019
4.3838209,4.268292683,2,4.509713986,3.981165651,4.720958971,4.832033593,5,4.099426541
3.288823173,3.262293083,3.75,3.726401949,2.37775572,4.889537857,3.412056738,2,3.529552646
3.304347826,3.095459682,3.697247706,4.017735656,3.21965924,2.864001976,4.029982363,5,3.461204921
3.578509619,3.525303552,2.25,4.227559189,3.865611991,4.978869056,4,4,3.775121915
2.941980656,3.324288344,2.933333333,3.600311641,3.420536883,4.037251368,2.076209238,4,3.190558781
3.731879487,3.725538306,2.2,3.870544698,3.761494061,4.409874668,3.855796635,4,3.650732551
2.561898868,2.518518519,3,2.69324536,2.663433925,3.374364838,2.8,1,2.801637358
2.98725662,2.970416252,1,2.981993264,3.016176351,3.517791991,2.965289256,4,2.776989105
3.255172414,3.24351463,4.010582011,3.505045626,2.841291599,1.676907828,3.075130464,5,3.086806367
2.389601493,2.501835954,3.333333333,2.281662343,2.083339866,3.376235699,3.22675367,2,2.741823194
