"user","item","rating"
223,932,3
778,752,4
762,767,4
667,987,4
927,1052,1
771,829,4
705,1374,3
410,1155,3
192,1604,2
447,1618,4
750,811,2
881,1021,5
313,1535,5
327,993,4
487,1069,3
600,1025,4
121,863,3
871,1413,4
250,1519,3
391,375,3
294,983,4
95,1102,4
482,829,3
382,1182,2
930,831,2
616,296,1
228,795,5
835,804,5
818,1088,4
666,798,3
228,967,2
645,1326,3
914,60,3
385,1380,1
243,844,4
601,1106,5
496,1459,4
90,344,4
666,1602,3
912,23,4
49,948,2
246,1326,4
208,934,4
559,912,4
698,850,4
861,438,4
121,1079,2
30,61,2
759,584,2
862,948,3
816,1035,2
898,1005,4
660,1315,3
674,125,4
489,1205,5
482,830,4
932,314,3
228,912,1
153,1160,4
739,823,4
543,977,1
238,788,5
271,787,5
542,1536,1
240,1108,4
58,854,4
353,870,5
313,1109,1
250,771,4
417,1021,5
787,1118,5
302,1128,4
885,904,4
787,1132,3
132,1213,4
618,1449,3
935,844,1
604,979,5
618,1282,2
2,1580,4
831,190,2
534,1170,5
749,808,2
698,50,2
850,1402,3
499,868,1
720,1111,5
534,179,5
721,1023,4
848,113,4
888,845,4
219,1123,5
343,785,4
256,877,2
353,255,2
566,1623,5
645,299,4
365,823,5
898,256,4
99,752,3
759,213,2
200,542,1
542,1307,3
548,857,5
636,1374,5
387,744,5
305,1137,3
445,1008,1
322,1221,4
630,174,3
220,190,4
352,590,4
411,1091,5
313,1026,3
443,1278,3
21,1106,5
636,1207,3
374,1312,2
70,902,5
584,1302,3
685,765,5
758,785,4
12,1007,1
821,897,4
63,909,2
786,1001,3
739,1172,4
646,854,3
258,288,5
546,71,2
601,771,4
435,3,3
551,1576,1
673,1137,3
269,1338,5
548,1043,5
752,193,2
1,807,4
1,844,2
482,818,3
591,878,4
265,1129,5
5,299,2
822,1115,3
496,771,4
613,767,4
379,25,2
398,234,4
67,1487,1
618,537,4
254,827,2
805,1470,3
167,1203,3
237,3,1
720,1119,5
483,958,2
68,1598,5
880,220,5
391,1284,3
857,1074,4
32,877,4
106,815,5
255,1123,5
580,1602,4
541,1117,4
371,824,4
661,816,4
514,1162,1
624,783,4
690,1635,5
376,354,5
368,1181,4
100,756,5
213,90,2
373,1630,5
873,743,4
95,1259,3
305,744,4
605,906,4
557,914,4
476,1135,5
492,1602,4
151,1254,4
379,815,4
559,768,3
264,870,3
786,745,5
903,460,4
581,978,5
801,1129,3
415,354,5
197,222,4
393,1106,5
98,1327,4
871,1122,4
23,753,4
448,797,3
453,1153,3
580,1403,4
830,759,3
