"user","item","rating"
513,866,3
410,3,5
521,1021,4
391,989,3
200,1015,3
610,805,4
84,748,5
331,797,4
353,752,5
547,49,2
68,870,3
375,1344,4
35,1528,3
725,1031,4
367,129,3
831,1404,4
916,874,4
154,1260,5
365,920,5
144,1452,5
482,695,5
886,1082,4
545,1325,4
558,965,3
805,917,3
680,921,3
827,1326,5
320,1319,5
341,301,2
690,946,4
71,814,4
368,1509,4
613,482,3
827,1290,2
150,1558,3
796,1199,3
587,1196,3
818,970,4
636,1192,3
170,1070,2
138,948,2
325,1635,4
894,1211,2
354,69,2
796,1087,5
822,908,1
13,1133,4
554,840,3
630,763,4
720,1016,5
576,990,1
827,1053,2
303,299,4
272,746,5
422,767,4
294,1373,3
192,746,3
470,579,4
88,1247,4
36,34,4
81,889,3
216,826,3
821,1380,3
130,1087,4
612,776,4
84,19,3
654,927,5
788,920,4
478,1314,2
175,753,4
464,763,4
433,837,5
879,804,4
8,887,5
549,1524,4
716,868,3
164,601,1
310,743,5
125,914,4
512,158,4
325,844,1
765,1380,3
169,911,2
70,299,3
909,1397,3
774,57,4
582,231,2
584,1520,3
839,824,3
313,845,3
680,1220,4
927,1200,1
320,1580,5
908,824,5
264,1157,3
556,791,5
602,271,3
446,256,4
442,55,3
220,1316,5
830,1283,3
680,932,3
1,1613,5
59,1131,5
1,813,4
581,1174,4
677,1581,3
210,1313,1
660,259,2
759,1651,2
367,999,4
216,809,2
213,779,3
99,1105,4
23,857,2
100,133,5
928,981,3
172,1181,4
92,425,1
64,1194,4
731,1535,4
214,997,4
895,1524,3
883,1586,3
531,365,4
871,756,5
216,22,3
200,191,1
920,859,1
604,1052,5
88,1247,4
912,1083,4
262,84,4
52,1017,5
323,851,4
581,976,2
499,828,2
488,1087,5
61,791,2
188,1113,4
459,1302,2
543,125,1
230,1216,3
258,1047,4
78,840,1
179,837,3
630,759,5
397,1220,5
890,1620,5
877,1181,3
462,887,5
247,1370,4
630,1256,4
176,837,3
167,749,5
92,130,1
408,1517,2
327,240,3
323,905,4
432,763,3
514,2,3
872,1367,3
378,363,4
240,1001,4
33,1594,5
611,836,5
787,559,4
151,779,3
69,753,5
801,1034,5
382,958,2
354,845,3
523,1106,5
332,1341,2
893,746,5
200,1547,3
24,299,4
682,996,3
255,1181,3
363,1595,4
162,1576,2
95,904,5
95,26,4
341,1286,2
769,887,4
392,432,1
558,845,3
926,1118,4
731,881,4
386,1523,3
440,798,5
623,878,3
175,795,5
188,872,1
476,769,4
909,234,1
794,846,2
171,800,4
292,1109,4
109,744,5
196,1,4
441,861,2
672,1247,4
676,1059,3
326,1121,5
230,755,3
823,125,4
785,744,3
521,142,4
1,798,4
226,1028,5
831,776,4
487,1000,3
332,569,4
600,1470,4
849,733,3
588,743,3
5,1048,3
764,952,3
187,158,5
695,915,4
743,1271,4
557,1223,4
871,1282,3
514,1111,3
796,810,3
545,1226,2
13,828,3
559,1025,4
317,852,4
262,743,4
397,805,3
182,1171,3
518,1361,5
890,216,4
752,1038,1
391,1116,4
250,871,2
266,1221,4
51,1277,5
197,1135,4
35,1550,3
538,816,2
109,1192,3
545,1286,4
115,84,2
125,1,5
750,234,1
374,102,4
273,438,5
442,1075,3
249,1093,3
857,887,4
618,30,3
488,795,5
473,1258,2
503,1326,5
217,829,5
494,772,3
292,1259,4
617,815,4
313,845,3
314,899,2
671,892,2
819,1276,5
868,1094,3
105,914,1
222,958,4
523,1203,4
831,1001,3
147,590,4
934,804,4
235,1229,4
582,1031,5
885,296,2
376,559,5
721,1363,4
391,2,4
514,27,4
189,1582,1
191,923,3
287,817,4
197,866,4
133,590,4
274,842,5
228,1010,2
376,1172,4
752,1558,4
720,49,4
55,46,2
766,868,1
736,789,1
774,1165,4
934,947,5
883,1,4
774,743,5
452,1315,3
35,515,3
486,1094,3
596,1307,2
29,802,4
812,1002,2
877,743,5
273,321,4
522,855,4
214,642,4
59,1068,5
139,870,3
73,913,3
749,110,4
316,905,2
523,863,4
92,400,1
476,179,4
937,1122,4
590,1600,3
739,34,4
354,753,4
115,504,1
310,979,3
821,861,4
432,1132,3
782,1180,4
344,1149,1
387,190,4
74,1016,4
685,983,3
393,611,4
808,1139,5
665,299,4
678,870,5
131,791,4
618,295,3
850,946,4
376,223,5
274,12,3
272,1197,3
677,871,4
759,270,3
420,864,4
152,756,4
519,590,3
255,994,3
928,1341,4
476,1069,3
330,840,3
220,1106,5
329,1535,5
322,756,5
292,49,2
19,864,4
494,771,4
248,1333,3
498,901,4
503,1082,3
205,783,4
262,795,4
752,1279,3
191,234,4
807,1057,3
59,329,1
302,1088,4
175,905,2
173,1285,4
886,1397,3
928,804,4
179,865,3
128,1074,3
541,1578,3
367,1378,3
934,1362,3
35,1426,3
192,972,2
208,1261,5
228,1509,2
627,853,5
488,758,5
266,1004,5
267,812,3
470,895,3
612,815,3
389,438,3
602,960,3
322,1129,3
305,1138,4
4,866,4
114,1380,3
871,802,3
274,898,3
395,836,4
666,1086,2
514,235,1
858,921,2
442,766,3
149,1122,4
482,807,5
182,1612,2
881,134,3
536,1587,3
291,3,5
343,1591,4
548,375,5
868,1247,2
710,771,4
237,756,2
784,763,4
559,84,2
440,774,5
519,742,3
850,997,4
812,1380,2
549,601,5
455,1109,4
232,973,3
245,1307,3
425,763,5
306,1460,4
496,482,3
35,877,2
391,936,4
520,748,4
605,1073,4
399,783,4
597,548,5
595,866,4
648,795,5
453,753,5
542,905,3
400,213,4
698,384,2
36,1302,4
125,1271,4
322,1298,2
217,16,2
720,890,5
780,234,4
294,961,2
253,1122,3
867,913,5
35,1122,5
423,758,5
201,190,4
413,890,4
587,1441,2
240,1014,4
410,1114,5
350,915,3
627,1507,3
138,757,5
499,515,5
216,804,3
197,997,3
484,1080,3
13,861,5
240,1589,3
342,1626,3
154,1087,5
239,1459,3
613,395,4
374,1427,4
420,877,4
393,695,4
618,877,3
391,790,5
161,839,3
641,354,5
30,1360,5
197,1392,1
266,738,5
114,40,2
894,747,4
273,746,5
702,1454,3
574,1116,4
917,867,4
35,1022,1
395,1,3
824,1203,4
807,16,3
802,932,4
51,58,2
312,1067,5
342,1624,5
801,1475,1
52,1,3
469,885,4
686,1219,5
183,487,3
616,801,1
749,840,2
593,1253,4
394,1612,4
698,1303,5
281,1647,5
59,1453,4
581,1318,4
398,1465,5
447,834,3
630,978,3
621,770,5
395,811,3
868,1318,3
267,836,4
254,559,4
326,1148,2
564,1558,5
209,836,4
659,1172,3
224,1416,4
751,937,3
354,1008,2
667,460,3
36,986,4
5,1613,3
239,559,1
14,275,3
306,1263,1
399,1367,4
816,1445,4
294,239,1
485,191,3
661,1295,3
545,999,5
616,747,3
832,1228,5
602,1593,5
30,471,5
260,1166,3
558,1179,3
627,857,3
680,888,4
820,1576,1
156,811,3
894,864,4
152,768,3
867,893,4
591,201,4
478,1531,4
394,190,4
395,1273,4
532,1384,3
197,1246,3
856,764,3
200,129,3
345,757,5
88,904,5
294,782,4
784,1268,5
582,1432,2
487,1294,2
865,744,3
84,870,3
421,834,4
798,1472,1
