"user","item","rating"
844,1396,5
732,881,4
520,852,4
613,482,3
284,1326,4
634,256,4
810,865,3
890,1335,5
487,815,4
765,764,4
365,843,5
661,752,5
164,1293,2
630,1179,3
531,766,4
240,1339,3
601,777,4
35,201,4
216,1114,4
548,1590,3
280,1034,5
731,493,3
604,1164,4
741,1111,3
607,782,5
415,743,5
488,778,3
681,834,4
378,1326,4
805,1172,5
548,1247,3
185,837,4
103,1385,3
237,744,5
90,1013,5
146,1001,4
666,1076,3
581,1536,1
566,1181,5
839,904,5
140,1380,3
938,816,5
550,947,4
749,816,4
564,881,4
241,1063,4
833,201,5
294,1338,3
738,1105,4
768,620,2
311,748,5
102,874,3
376,427,3
115,1646,3
816,924,2
874,754,5
706,471,5
345,396,2
375,135,4
618,773,3
367,1460,3
244,1429,2
138,439,1
731,767,4
57,812,1
487,779,5
354,1087,5
543,1525,1
208,898,4
232,1138,4
827,695,3
640,888,5
757,1635,1
879,674,4
582,883,1
173,460,3
434,871,4
92,1397,1
455,1113,5
507,224,4
158,1380,3
386,848,2
562,1296,1
870,1056,3
382,895,3
799,1384,5
673,769,5
750,793,1
316,905,2
492,55,2
247,1447,4
462,839,3
33,805,2
327,887,4
857,1304,3
618,820,4
673,1366,4
681,179,5
110,1460,1
397,868,3
84,1606,5
341,1052,5
687,1056,2
216,1635,4
627,1322,3
402,1342,4
178,746,4
4,1001,4
885,915,1
414,1067,5
322,1315,5
309,837,4
84,963,5
331,1172,5
813,1622,4
254,1,4
441,515,3
431,886,4
121,1251,2
483,1080,4
440,979,3
296,461,2
305,1021,2
382,755,2
487,1267,2
93,1021,5
519,773,4
893,1,5
393,1623,2
864,777,4
534,1327,4
598,1376,4
92,155,1
332,1368,2
395,756,2
342,1082,4
132,201,4
398,1107,5
898,548,5
107,375,5
616,1196,1
534,1261,5
818,1111,5
685,3,2
698,579,4
149,1083,5
189,1485,3
254,759,5
888,759,2
354,912,2
197,899,5
68,774,5
345,908,2
634,190,5
920,1397,4
587,1277,4
367,1008,3
686,26,5
146,1360,3
858,422,3
605,766,4
649,1307,1
208,1454,3
462,1,5
796,762,5
316,1084,5
487,1137,3
566,1095,4
918,793,4
720,53,4
927,734,3
327,1419,3
216,1448,2
197,1115,5
95,1602,4
928,559,3
357,1150,4
588,1518,5
106,106,3
84,1402,1
115,1608,3
214,1481,3
477,815,3
117,1106,5
329,1260,5
526,871,3
333,299,2
138,1191,1
367,1007,4
342,770,2
543,757,4
520,876,5
496,1305,2
216,427,3
618,310,3
831,811,2
805,1128,3
883,1587,4
433,270,4
665,767,4
556,837,2
901,344,2
12,744,5
833,811,5
121,1429,2
195,1521,3
540,379,3
487,980,4
828,1031,5
259,820,4
137,818,4
228,758,5
648,1475,3
934,1006,3
284,1335,4
387,1172,5
95,1102,4
624,755,3
304,321,4
542,1381,2
581,1318,4
315,1106,1
812,1199,4
182,1090,5
188,1152,3
487,906,3
21,1380,3
87,911,4
214,1026,5
392,840,5
896,934,4
455,815,4
202,910,2
828,819,4
271,354,5
239,674,3
556,791,5
923,1487,4
90,1368,3
430,1346,2
140,1312,2
660,1016,2
12,1472,2
363,1316,1
253,1269,5
941,1426,5
230,785,3
9,1468,2
653,823,3
599,1106,4
107,915,4
626,377,4
616,1458,3
871,994,4
84,125,5
482,113,5
559,439,1
176,867,5
385,876,3
450,743,5
354,776,4
890,1635,5
885,1333,5
190,822,3
545,1547,2
583,754,3
151,771,5
129,1063,4
559,1513,4
914,41,3
732,1282,3
691,1542,5
830,1370,4
197,654,4
380,294,5
189,611,5
796,1242,3
36,307,4
935,743,4
513,834,4
65,883,3
182,861,3
99,744,5
610,1356,3
487,321,3
55,1106,5
773,738,5
200,1535,4
503,1602,5
933,1536,2
890,221,5
487,1393,3
374,1374,4
577,870,3
778,877,3
35,1506,4
73,1576,2
430,1314,2
410,837,4
624,1106,4
605,310,3
389,1123,5
213,104,2
472,1009,3
394,790,3
556,769,5
217,526,3
483,471,4
912,44,2
372,913,2
514,1213,3
36,113,5
616,1161,3
95,995,4
822,1059,5
803,1635,5
363,1256,4
99,1404,4
773,1624,2
53,929,4
830,1297,4
616,695,3
848,1112,4
508,1132,5
90,1121,4
250,771,4
871,746,4
189,1389,1
333,910,1
851,526,3
333,1339,2
882,814,4
84,104,3
624,1426,2
730,812,3
36,306,4
896,1523,3
312,1045,2
662,840,4
271,1188,1
565,234,2
294,1317,3
389,58,1
486,395,4
768,1635,5
380,1381,3
618,994,2
254,734,4
660,759,2
275,994,4
528,3,5
78,771,4
494,795,3
908,153,3
466,1509,5
197,1004,5
397,855,3
808,803,4
35,791,3
469,849,5
189,1086,3
373,1079,4
131,1474,2
868,1017,5
341,1133,1
305,114,3
680,375,5
877,885,3
215,811,5
421,1052,5
621,1032,4
132,1166,3
898,812,4
784,113,4
73,931,2
514,795,3
262,777,4
675,1007,4
138,50,4
676,345,3
255,803,3
140,868,3
84,1277,5
273,1091,5
641,1148,4
226,1558,3
648,1407,4
938,758,5
618,538,2
228,1256,3
202,1578,5
494,1283,3
503,1105,4
302,877,1
36,1006,3
710,1073,4
768,1174,3
294,1368,1
276,1602,4
230,764,2
341,381,1
908,102,3
397,1617,4
648,764,3
391,1145,3
188,1106,5
216,52,2
33,1282,3
344,914,5
417,1160,5
849,933,4
483,834,2
397,26,4
276,857,3
391,1204,3
340,915,4
114,1349,4
545,1389,2
869,101,1
784,116,3
648,1312,2
765,1380,3
836,873,4
686,21,3
613,742,4
154,375,5
857,845,4
310,1047,4
628,1624,3
391,1184,4
595,887,5
830,1030,5
587,1316,5
195,3,5
442,1015,3
324,288,5
790,864,5
20,849,3
616,1077,4
52,919,3
391,1088,3
99,1273,4
200,751,2
530,782,3
174,923,4
294,983,4
318,1227,2
750,549,1
391,1621,5
796,1315,4
103,853,4
890,769,5
712,919,4
212,751,4
914,1315,4
189,853,3
731,777,5
153,1359,5
496,852,3
405,801,3
636,1276,3
787,979,4
115,1034,4
294,299,4
434,14,3
289,1581,4
854,806,5
367,771,5
76,406,5
540,773,4
821,1338,3
930,1509,2
396,1162,4
331,330,3
850,1440,3
816,1047,5
404,915,5
192,796,3
832,1129,5
718,861,2
121,1426,4
520,1326,4
908,1209,4
628,1051,3
845,849,4
701,743,5
835,744,5
537,883,3
314,384,5
188,979,2
693,1213,3
714,1283,3
247,929,2
676,1336,3
220,906,4
710,1001,2
759,21,3
135,784,4
363,953,3
200,250,3
807,1179,5
939,132,4
30,968,3
106,1244,3
908,1216,4
59,1160,4
114,1030,5
926,609,5
857,1032,3
228,784,2
490,69,3
59,1090,5
213,579,3
343,1127,4
797,1302,4
749,787,2
874,803,3
849,476,2
367,201,3
862,1260,5
649,892,3
558,1051,4
209,1380,4
718,1326,4
135,310,5
468,1065,5
677,201,5
265,807,5
618,1510,4
914,1088,3
434,1064,2
321,1316,5
310,1322,3
656,922,3
531,1162,3
200,784,3
266,891,4
431,1280,4
613,1558,4
581,1427,4
765,793,4
486,1,5
200,765,2
665,1086,2
485,1034,5
726,868,1
628,1030,2
74,964,5
310,828,4
221,744,5
202,801,4
13,1370,3
217,150,4
197,50,1
202,579,5
566,1490,4
912,1065,4
831,776,4
145,888,1
125,1,5
233,776,4
167,817,4
661,744,5
869,384,4
785,1613,4
258,1072,5
376,786,4
869,240,1
604,371,2
256,870,2
666,1082,3
722,1416,1
332,866,2
365,328,5
482,1142,3
327,1524,3
418,888,1
262,824,4
322,61,2
628,745,4
854,958,2
274,1282,3
214,867,4
722,1032,3
489,929,2
577,549,2
121,752,3
730,707,1
255,823,4
917,299,3
507,812,3
473,1122,5
492,1450,3
813,1646,3
907,887,4
839,1326,4
577,757,4
664,1326,5
912,1123,4
186,868,4
106,1648,2
202,995,5
138,948,2
558,759,4
205,1244,3
417,807,3
214,1346,3
