"user","item","rating"
233,1082,5
214,1026,5
569,942,1
104,858,3
628,1032,3
262,936,3
354,1076,2
686,752,4
466,1009,1
361,1463,3
332,1281,3
591,744,3
534,1286,2
327,87,3
69,1465,2
462,740,3
824,880,5
805,439,3
287,798,5
576,1221,2
232,795,3
515,1256,2
131,1172,5
731,1238,3
328,1432,2
92,1634,2
342,1230,5
462,947,4
459,875,5
839,994,2
141,742,5
306,1391,1
146,783,5
825,1387,4
551,1460,2
624,1256,2
722,1635,5
90,753,4
253,810,4
466,1207,3
827,1326,5
912,1404,3
925,891,4
153,756,5
318,817,3
926,1152,1
189,1573,4
276,1007,5
784,695,4
816,795,3
839,312,2
487,1077,5
237,1285,4
367,125,2
195,1247,4
153,768,1
192,1360,2
284,837,4
57,910,1
890,896,3
652,758,5
868,1152,2
617,1315,4
496,970,3
485,111,5
523,908,4
281,1645,4
22,811,5
382,190,3
59,1093,5
741,1052,2
848,1487,4
345,771,4
934,14,2
865,168,4
197,1439,3
487,744,3
327,977,3
391,996,3
345,1619,2
334,948,2
555,1397,5
610,234,5
342,15,4
1,1613,5
392,875,3
318,1016,2
720,994,4
908,1404,3
906,125,1
927,755,1
749,1171,2
273,848,3
548,1495,5
362,1313,2
865,579,5
836,888,4
284,1222,3
667,579,5
680,1569,3
294,1337,4
473,1337,5
457,742,5
15,921,4
580,3,1
320,826,4
512,1535,4
208,1558,4
214,1176,3
492,1,4
850,1319,4
644,861,5
600,1573,4
387,864,4
295,871,3
705,855,3
834,1339,2
268,871,1
380,120,5
943,1007,5
868,1034,4
902,896,3
825,870,3
564,1160,4
475,876,5
624,936,3
417,1234,4
410,1546,5
361,1384,3
208,631,3
881,734,4
494,793,3
688,1523,2
138,1052,3
773,1449,4
629,814,3
682,839,2
387,1007,2
311,1181,5
897,1004,4
543,1021,3
885,1399,4
182,1181,3
392,837,4
433,1600,2
151,1164,2
371,190,4
850,125,3
905,1374,3
408,758,3
357,1502,3
90,1228,4
587,1491,4
873,904,5
881,1309,5
911,1374,4
342,90,2
492,62,3
368,1082,4
592,920,3
394,752,5
228,153,2
776,1513,3
874,1172,4
415,1475,3
678,1296,2
17,870,3
564,1114,4
306,833,3
617,1367,5
542,899,5
480,778,4
1,1315,3
332,1220,4
151,805,4
332,143,4
912,1413,4
907,935,2
310,190,3
776,1316,4
774,845,5
326,837,2
776,1505,3
905,1203,3
391,1239,4
121,845,3
598,912,1
608,942,1
316,887,4
494,1502,4
668,776,4
830,1082,4
648,726,2
216,1052,3
255,526,3
242,758,2
678,1,4
868,1351,1
208,1332,2
262,1103,4
660,1181,4
396,740,3
393,786,2
92,1005,2
508,375,5
151,384,4
808,1646,3
248,1279,4
453,1220,5
518,787,5
775,1644,1
391,135,4
335,921,4
731,321,3
868,1,4
590,12,3
35,1469,3
60,862,5
55,1415,1
188,1,3
854,1655,2
492,1417,5
241,1078,4
528,934,2
667,743,5
151,903,2
115,837,2
255,1126,2
294,14,1
273,1099,4
237,786,3
262,1026,4
731,940,3
244,1538,3
216,1001,1
255,1246,3
870,757,5
882,1458,3
808,845,5
367,1162,3
722,744,5
287,1009,2
663,1545,3
807,299,3
91,1021,4
545,1110,4
88,1463,2
856,1293,4
42,1078,4
697,855,4
861,868,4
201,1327,4
189,741,5
604,1582,4
247,104,4
266,1088,5
487,1644,1
879,620,4
367,1030,5
771,209,2
343,1026,3
208,294,5
100,749,5
696,877,3
92,69,2
376,857,5
721,774,3
911,1212,3
297,1172,5
912,1008,4
354,1123,4
371,814,5
912,1449,3
63,912,2
377,1074,4
68,1590,4
255,938,2
514,947,3
737,851,4
770,1,4
413,752,4
173,288,3
796,987,4
774,1140,3
582,895,3
385,863,1
35,1540,1
252,23,3
92,356,1
464,1283,5
156,767,5
138,985,3
808,795,5
452,190,4
883,1330,4
720,299,5
214,1405,4
506,1426,5
532,21,4
398,1261,4
202,1366,2
357,1007,3
731,1459,4
685,780,4
466,798,5
312,1108,5
927,1635,5
759,328,3
291,752,4
12,808,3
787,1001,4
394,257,2
87,929,4
222,1123,4
376,1308,2
430,1302,1
246,201,3
706,1016,4
218,1315,5
540,379,3
448,559,4
831,1345,3
192,1273,4
559,1087,4
877,1132,4
886,1181,5
411,1119,5
343,994,4
463,871,1
376,321,1
151,515,3
348,889,3
213,42,4
863,868,5
850,116,4
912,760,4
130,1031,5
939,1260,5
333,920,3
421,1416,3
434,1106,1
934,1578,3
1,851,5
847,877,3
473,1260,2
722,190,4
772,1056,4
192,866,3
908,1025,4
92,182,1
590,15,3
208,438,4
727,902,4
534,1050,5
2,958,4
88,972,3
327,1203,4
153,441,3
243,844,4
934,985,3
106,785,3
185,80,1
228,842,5
809,1316,3
812,1346,4
531,1197,4
754,113,5
353,1220,5
629,1106,4
622,1192,3
714,1635,5
84,861,5
109,1238,2
739,1172,4
492,85,1
375,1162,4
523,766,4
905,741,3
430,1346,2
180,1527,5
774,972,5
903,783,5
96,1122,5
684,1106,5
672,1398,2
883,813,4
503,310,4
481,910,5
648,339,3
855,1123,5
5,663,2
830,792,4
197,101,2
637,34,4
768,332,3
228,808,4
886,751,5
397,1115,4
417,1304,3
486,752,5
153,1113,5
364,26,4
557,1257,4
859,1307,3
685,1073,4
228,1437,5
337,828,4
667,973,4
132,1450,3
128,837,4
473,1011,4
501,101,1
52,1398,2
454,837,4
291,894,2
667,1184,3
431,803,3
130,753,3
874,1427,4
507,515,4
200,1249,3
808,1491,4
731,972,3
33,1344,4
812,972,5
725,11,4
934,1374,3
854,365,2
354,804,3
462,1268,3
214,266,5
69,1584,3
506,1194,4
287,108,3
109,758,5
316,934,2
32,973,5
432,744,4
610,1302,3
391,979,4
749,816,4
914,1173,2
821,745,3
618,97,2
850,998,3
862,752,4
883,920,3
92,1578,3
822,125,4
725,1365,1
284,1216,5
482,927,5
770,234,4
518,677,4
752,1220,4
725,964,3
100,1120,4
260,1106,5
908,116,4
273,994,4
912,238,2
291,152,3
520,1101,5
354,756,3
322,663,2
616,50,2
440,104,4
237,1018,1
548,1315,5
36,246,5
229,859,4
443,1210,2
601,897,2
556,1086,4
830,766,4
689,874,3
569,1437,4
584,915,4
219,826,5
641,742,5
768,245,2
276,1613,4
587,1613,3
830,1281,5
598,299,2
613,1000,3
582,1075,3
455,549,5
864,1261,2
818,814,4
445,811,2
801,1260,5
306,1630,4
157,299,5
447,979,3
440,1272,5
597,1372,4
188,258,2
237,752,4
537,752,4
885,1028,3
916,16,4
216,1288,2
911,763,5
648,874,1
5,695,3
602,1426,5
147,818,1
759,952,3
342,1170,3
622,958,3
238,132,3
477,837,4
638,875,4
238,1229,5
741,1140,4
657,815,5
353,790,5
476,1546,5
433,911,3
904,757,3
164,817,4
363,482,4
470,1646,3
197,663,3
15,1532,3
579,1571,2
827,759,2
422,758,4
238,1140,5
430,869,4
920,1416,1
831,811,2
427,767,3
194,926,3
345,327,1
262,1386,4
773,1535,4
327,1618,2
512,978,4
304,1041,4
379,1513,5
164,743,5
512,1350,3
898,1075,5
932,801,4
315,922,5
306,1338,5
877,1374,3
732,1215,2
927,1181,2
738,1523,3
934,1353,3
391,183,3
333,1139,4
238,1086,5
777,1050,4
107,1227,3
625,1274,2
858,767,5
226,784,2
676,756,3
379,1106,5
585,482,4
353,1155,2
774,1282,5
831,842,5
686,806,4
574,745,5
731,1175,3
558,985,3
69,266,4
354,1032,4
741,1104,3
162,1070,1
894,620,4
874,850,2
366,838,4
156,228,4
302,1098,5
584,55,3
340,886,3
885,882,1
857,2,4
598,1346,3
187,746,5
854,1277,4
493,778,3
385,515,2
160,1585,5
593,205,2
504,288,4
253,904,5
204,837,5
665,331,2
138,1465,3
216,1007,2
916,234,4
310,1286,3
222,43,2
228,1414,1
409,1106,4
486,1624,3
141,1260,4
834,1111,4
461,752,5
577,765,4
848,1632,4
397,598,4
828,913,3
149,1379,3
272,1546,5
240,1150,4
202,1384,3
357,1260,5
202,1416,4
294,1039,3
595,77,4
84,85,4
512,1360,4
720,1085,5
237,802,4
569,1136,4
584,908,4
389,1078,5
35,1244,2
95,167,3
483,194,4
854,767,2
202,1282,5
503,1008,1
740,798,2
395,515,3
84,1325,5
549,1370,5
333,70,3
375,1569,3
198,146,3
606,1517,4
688,1374,5
138,754,4
840,1568,3
521,1129,2
322,779,4
829,935,3
14,1179,4
121,1483,3
311,1234,2
650,1585,3
294,1568,5
933,833,3
877,753,4
193,795,5
259,1069,3
57,1326,1
648,999,3
239,1074,4
514,1106,3
473,1095,3
417,1286,4
353,1074,5
442,1277,4
630,1285,3
100,1333,4
35,1267,4
151,1073,2
488,746,4
51,166,4
149,994,4
682,1205,2
638,1542,5
396,1535,3
891,1001,3
338,56,2
438,1172,4
387,799,5
441,631,2
827,973,3
145,1544,5
698,1414,2
130,746,5
399,906,4
661,1049,4
368,1157,4
912,103,3
109,1162,3
310,1125,3
327,60,3
281,1384,4
230,654,4
862,758,4
149,857,5
821,1580,3
100,1108,4
406,834,4
271,107,3
357,1417,4
333,815,1
218,489,4
542,844,4
732,127,4
407,1333,4
832,1286,5
470,3,3
230,757,4
7,828,3
773,1558,5
903,1635,2
931,820,3
529,752,2
577,917,2
613,59,3
391,980,5
915,978,3
613,590,3
5,579,2
848,1261,3
657,1426,4
59,1004,5
447,1050,4
871,645,5
899,1172,4
901,914,4
151,744,3
306,1002,3
913,940,4
929,1454,4
881,601,2
221,748,5
604,1273,4
512,881,4
862,849,4
171,537,5
579,104,3
694,871,2
474,863,3
537,1644,1
897,892,3
627,1116,4
790,738,4
499,1211,4
640,11,4
920,1397,4
451,726,3
192,743,4
695,1308,1
668,792,4
353,1428,2
581,43,1
686,1089,5
13,1029,3
35,663,5
90,1606,3
87,870,5
252,1135,3
890,1140,3
559,1016,4
167,1613,4
880,862,3
192,1489,4
33,1333,3
681,365,5
616,354,3
342,1101,4
857,1184,2
939,1242,3
732,932,2
548,1624,4
910,116,4
279,837,2
391,275,4
769,752,5
8,1316,3
122,1624,4
387,631,3
274,848,4
485,1338,4
906,791,3
934,1263,4
197,1019,4
777,1088,3
485,569,4
188,971,1
192,1271,3
503,1012,4
616,874,4
1,1271,4
226,1434,4
709,757,5
618,1567,2
78,744,4
548,817,4
749,1416,4
252,746,3
308,908,3
334,1106,5
387,861,4
330,1074,4
271,384,3
113,831,4
345,609,5
868,914,3
545,1160,4
850,1613,5
415,754,5
304,870,5
743,1078,2
333,1282,3
683,711,2
371,855,3
821,1216,4
912,1032,5
393,674,3
375,1113,5
255,1553,3
313,762,5
858,890,3
527,856,4
387,958,3
773,1379,3
557,746,4
610,1181,5
102,1310,3
660,771,3
124,1374,3
492,1277,4
779,1531,4
662,926,2
115,173,2
595,406,3
564,1459,5
589,45,3
730,1459,3
784,744,5
434,1026,5
276,223,3
437,1122,3
790,559,2
911,754,3
862,1126,4
211,1,3
709,611,5
430,876,3
262,579,4
496,837,3
912,785,4
13,855,3
97,1460,2
774,1459,3
862,1064,4
613,1178,3
807,827,3
368,1124,5
95,1123,5
490,921,5
864,849,4
934,753,5
445,962,1
776,1465,3
188,793,2
52,931,4
618,190,2
254,1023,3
768,854,5
828,781,4
894,854,3
106,1086,3
831,1048,4
674,836,4
849,347,1
90,1535,3
750,22,3
306,1164,4
35,1203,4
388,892,2
151,7,2
315,384,3
682,1249,4
209,125,3
208,1459,3
35,1447,2
362,548,4
200,1006,2
197,493,3
677,63,3
587,739,2
124,1247,3
579,1359,3
453,872,2
933,1650,4
74,548,5
636,1105,2
175,1288,4
305,973,4
758,790,3
128,1115,4
189,791,1
707,876,3
931,885,4
188,1635,4
177,1316,4
94,1613,3
659,1282,2
667,734,5
106,448,1
368,1489,5
330,1001,3
445,1001,3
310,833,1
906,974,3
106,1449,2
59,579,3
100,763,5
284,734,5
51,1548,4
169,1302,2
228,1444,4
875,904,5
925,865,4
854,1193,1
541,836,3
400,18,3
677,859,4
834,1366,3
705,1488,2
624,1136,3
231,332,4
90,1615,3
584,892,3
698,812,3
311,1189,2
463,868,2
228,763,5
758,1087,5
856,134,3
673,769,5
1,767,5
749,1611,4
412,908,4
202,242,5
774,1309,5
744,1008,3
666,146,3
616,981,2
397,1351,4
939,861,4
162,233,3
673,885,2
275,1583,2
442,1444,3
548,1575,3
202,1139,5
725,828,5
938,1172,5
691,902,4
109,1288,4
343,1032,4
630,674,4
697,190,1
36,849,4
237,1620,4
109,809,4
656,824,5
618,72,3
883,844,3
757,1096,4
487,1383,3
909,1145,4
151,1341,2
66,1119,5
167,1207,5
310,55,2
40,913,5
903,1580,4
621,1247,3
306,765,4
940,1326,5
214,1439,2
682,1423,3
167,1021,4
322,228,4
756,1515,3
666,806,4
676,1509,2
361,853,5
556,761,4
237,354,4
364,3,4
752,1394,3
661,1127,4
216,1204,4
311,891,3
374,1190,3
284,797,4
656,753,4
816,168,4
451,1189,3
935,1136,3
190,1115,3
898,482,5
254,234,2
200,971,3
932,870,5
859,899,5
294,790,3
628,1087,4
563,1601,5
59,895,3
33,1574,3
284,1199,5
453,271,2
329,899,3
21,108,3
434,964,4
131,1323,4
875,60,4
360,876,3
514,1021,2
750,746,4
214,275,4
782,838,2
391,1140,3
515,744,5
618,804,3
396,1404,4
237,1417,2
398,1114,4
877,994,3
652,1260,5
722,1160,3
349,744,5
100,1429,5
542,840,4
549,674,5
428,1203,5
692,1315,4
174,827,5
214,912,4
757,1281,4
888,946,2
551,1158,4
217,272,3
934,1448,2
96,1329,3
425,781,3
313,3,4
161,510,3
828,1624,3
628,1124,5
398,1057,2
376,1338,3
503,1465,5
341,218,1
874,1199,4
12,125,4
855,179,4
158,899,5
598,910,1
35,1177,1
393,234,5
922,1276,3
313,1138,3
48,1001,3
556,877,2
314,1354,3
1,813,4
100,1278,4
782,384,4
294,851,2
363,515,3
813,1231,4
267,1161,3
512,1004,4
741,765,3
220,926,2
628,559,4
666,1648,3
604,1260,5
934,829,4
234,1589,4
269,845,5
863,1141,4
890,958,4
48,3,4
848,734,4
886,1073,4
720,1321,2
673,975,4
338,1056,3
88,848,4
592,922,2
808,978,5
369,1132,4
189,1031,4
275,450,4
617,185,1
774,1194,3
306,859,2
470,845,3
858,1384,4
197,928,2
370,1316,3
240,1432,4
943,913,3
276,812,2
912,1251,4
482,1403,2
325,915,3
438,812,2
805,1023,5
341,1607,4
801,1462,2
497,794,5
88,1260,5
728,949,3
275,1001,3
930,932,3
604,969,3
559,819,4
274,769,4
613,812,3
117,889,3
318,1088,4
823,1157,3
30,1492,3
84,872,2
850,817,5
581,1591,2
648,987,4
133,1321,3
2,1088,5
604,744,5
19,234,3
315,549,2
342,883,3
430,1155,4
909,1322,5
342,1,4
121,744,4
13,1348,3
413,201,4
827,1027,4
59,1366,5
828,1507,3
271,1602,4
705,417,2
883,1550,3
266,1090,3
164,1158,4
834,1241,3
62,1261,5
784,1002,3
97,837,1
374,823,2
332,1029,4
4,1469,3
251,277,5
32,885,5
252,1268,5
322,749,4
623,826,4
698,1034,3
487,438,4
772,1123,5
726,868,1
596,824,5
221,806,4
396,998,4
208,944,4
769,920,5
214,1578,2
934,828,3
296,3,5
613,384,4
363,1544,3
423,877,3
294,1459,3
428,776,5
79,288,4
485,1279,5
197,1077,5
665,1114,4
275,814,4
167,1580,4
676,1251,4
905,548,3
827,1296,3
898,987,5
474,874,2
129,1106,3
337,1546,3
911,1015,4
67,1454,3
153,1315,5
256,837,3
511,1315,5
333,231,3
915,1459,3
910,1337,4
890,1265,5
214,307,4
534,826,4
686,807,3
362,742,3
763,862,3
243,885,4
68,1048,5
16,887,4
125,1635,5
774,1411,4
547,1571,4
428,1012,3
784,1199,4
482,1166,4
228,654,4
521,849,4
288,782,2
521,756,4
652,766,5
939,883,1
514,68,1
35,266,5
850,1513,5
322,1608,4
354,1171,4
216,1141,4
534,224,2
868,1374,4
342,1571,4
648,742,5
893,885,4
548,1546,5
231,905,4
535,1056,4
890,910,3
783,838,2
100,1088,5
413,874,2
759,1588,1
229,1523,3
95,1276,4
540,1367,4
52,1357,2
648,1352,4
580,1016,2
836,1237,4
327,839,3
116,1021,3
734,1326,4
485,1603,3
501,1426,5
618,814,3
192,1232,4
212,1426,4
438,816,5
545,1205,5
303,747,4
440,1234,4
428,757,4
874,299,4
391,525,3
197,920,4
308,1286,3
375,986,4
796,1133,4
164,1078,4
107,18,3
88,1081,5
885,1273,4
311,223,5
183,1426,4
157,113,5
648,90,3
128,1309,4
661,1250,3
150,1021,4
153,899,4
51,826,4
192,778,4
315,559,4
907,889,3
541,1427,3
264,1352,3
226,1047,4
215,1137,5
839,220,3
1,773,4
503,978,5
341,1173,1
782,913,5
343,1174,4
759,722,2
890,1647,3
922,1172,4
233,1524,4
618,98,3
660,1132,4
868,1244,4
472,1282,4
280,778,4
41,983,3
548,763,5
514,1337,3
31,1385,3
124,1295,5
151,1276,5
431,851,5
508,1083,5
760,870,3
35,1534,3
473,1582,3
331,799,4
858,1417,4
655,548,5
931,1546,5
648,1464,1
260,1578,5
616,885,4
216,815,4
25,1001,4
808,1309,3
320,134,3
629,620,3
925,896,3
750,1466,2
54,1544,5
485,1068,3
943,1569,4
91,964,5
396,195,3
113,1203,4
376,1179,3
616,1135,3
224,999,2
477,1470,5
604,371,2
686,1463,3
784,1481,3
627,1172,5
92,240,1
289,234,4
216,1270,4
395,1114,3
187,1339,4
254,1247,2
128,17,3
590,438,4
487,1075,2
851,784,2
333,1056,4
417,913,3
768,1396,5
470,744,4
244,1189,2
607,1349,3
328,1115,4
502,1521,4
333,471,5
151,221,3
454,798,5
656,256,4
491,855,4
470,753,3
720,983,4
825,1517,4
312,1479,2
877,126,3
473,1113,4
192,796,3
576,1269,3
253,753,2
241,757,4
582,744,4
392,1589,4
813,765,5
813,769,4
358,830,5
692,1363,4
435,1580,4
202,482,2
428,559,4
333,983,2
531,559,4
354,685,4
641,1115,1
436,1098,4
157,1397,5
857,920,2
759,725,2
636,1157,5
333,989,3
292,804,4
636,1310,5
727,766,4
254,775,5
786,1316,2
682,1067,4
216,245,3
341,62,5
422,1437,5
110,1256,3
694,837,4
640,888,5
581,739,4
908,1633,1
328,1015,4
217,823,3
167,776,4
95,1279,4
267,734,4
435,3,3
212,948,2
197,1612,4
776,631,2
219,84,5
836,1319,5
278,224,3
866,1397,5
213,1,5
648,1350,4
578,1491,2
113,752,4
667,838,3
926,228,5
167,46,5
331,922,3
99,1273,4
581,1007,4
137,201,1
915,1379,3
493,1338,3
187,1277,4
147,113,4
722,151,2
92,1078,2
661,685,4
230,1272,4
140,1277,4
266,1084,5
275,1375,2
191,1198,5
764,899,5
673,1315,3
812,185,2
240,1319,3
399,1337,4
660,1326,4
622,1426,4
176,800,4
873,814,5
188,978,3
648,767,4
807,831,5
23,266,4
487,1197,3
582,1006,3
92,150,1
88,921,3
630,836,3
410,761,4
5,1282,3
827,1316,5
836,1394,4
341,1484,5
151,1379,3
861,871,4
629,548,4
211,1001,2
885,1256,3
644,799,5
237,1393,4
230,1090,5
618,77,2
595,865,2
796,1088,4
399,754,4
59,3,3
328,1277,5
252,849,4
353,1636,4
648,242,3
197,1337,4
616,58,3
442,861,3
187,1056,3
137,1101,3
106,1286,4
284,73,3
410,21,3
722,1338,4
67,1001,5
279,920,4
153,117,4
167,777,5
153,1252,3
777,871,3
558,807,4
601,899,4
485,1230,4
276,1000,4
685,1608,4
439,877,4
361,921,3
89,934,1
